keyType;keyHASH;anchorURL;anchorHASH;contentHASH;httpCode;hashMatches;validJSON;validJSONLD;extraInfo
scriptHash;199ad2959c8c4e4d50a04a0f3d873b692ff86fbc6a195dd44d17b746;https://raw.githubusercontent.com/perturbing/DutchRep/main/data/drep.jsonld;333238a23ae67a0bdcba3d1ad48a22d4282fd49c4d20e9e8abba18d6f6ed93b2;333238a23ae67a0bdcba3d1ad48a22d4282fd49c4d20e9e8abba18d6f6ed93b2;200;YES;YES;YES;missing authors field
scriptHash;2bccc3b22a9d63fe5f85ea1f48536cc434ff17e8a8917111119159f4;https://2pzt5hfjckkkpzfl.public.blob.vercel-storage.com/drep/Mesh-yHdyc5bngMgjYtQ4xWULpTvIxpf3RN.jsonld;5174bef3136dde95498a42c9d5bda16dc79bb09e3fbbc8cc4f92ece5a393498c;25764e675edde5e1de56ba014ce659bada2728019d3d2df3d6f6e0fdcdb399fa;200;NO;YES;;
scriptHash;429b12461640cefd3a4a192f7c531d8f6c6d33610b727f481eb22d39;https://cardanofoundation.org/governance/drepMetaData.jsonld;3827f30d3e88d1cf055e53271c2c3f97910ca24f65908705fcfe339b65838a33;3827f30d3e88d1cf055e53271c2c3f97910ca24f65908705fcfe339b65838a33;200;YES;YES;YES;missing authors field
scriptHash;598876ee91ef4d9e10f9482cc81e0ddb3dbd5e92d7440f0d3466714c;-;-;;;;;;
scriptHash;5cb9fd8d69fabfca98a13e8756c8a67557b08b38f30ead6396ddc491;https://2pzt5hfjckkkpzfl.public.blob.vercel-storage.com/drep/drep.collective-rAAe9u4ZBgolZPCV91QE83CPFJoeKp.jsonld;693e558c211870145dd31ec5fb0f6b4403cd194d3c3d0da5c5156863165a53c7;f9738b48c9c4325b4bcacdc6e80f3c1abafae4da98e86b99d19be3a807dd1a9b;200;NO;YES;;
scriptHash;5f14b5b5cddb0839df02696194268ef48673836d7777a7c05ffd2f3e;https://drepdotfun.s3.eu-west-2.amazonaws.com/7aafa7c2-746f-4701-a567-6405bf6f7299.json;f01c78cc44a084c43e708c9bce83d22485bb0f8d92ab941c058bdbdcfc164d95;f01c78cc44a084c43e708c9bce83d22485bb0f8d92ab941c058bdbdcfc164d95;200;YES;YES;YES;no authors in the authors-array
scriptHash;7be42d7ed352a5f3d1125158bfb9cd1b56bd98676f3fa0e48e4709e7;https://2pzt5hfjckkkpzfl.public.blob.vercel-storage.com/drep/SWARM-YxSfMP0ikxkdaaJNK3vrrUzttBqpBz.jsonld;d68fee4d1d947810c8203c12074e6476c439e485e26ce884f0ea02de9f9124e2;5581793c631101e38ab09c93808565e7a37136fa6b6d6b0ee44c1c56643ffb25;200;NO;YES;;
scriptHash;89c36b1d78bb70ad750ecc33331a6ba73a52159bb76b1d1f162813eb;https://shorturl.at/fXTu4;8cd41cf9cd207c7a8ad9bf961cdf9b39ac671f8799df6eec59f0e5a60ba22433;8cd41cf9cd207c7a8ad9bf961cdf9b39ac671f8799df6eec59f0e5a60ba22433;200;YES;YES;YES;missing authors field
scriptHash;bfbae361fa703072ae1b5f6a85cd845cfc32fdd40b19f9c06ae8f5fe;-;-;;;;;;
scriptHash;eb8a7cf53e349af978e81c64ceefcea659a05559b83c384cf938e0ca;https://www.logicalmechanism.io/drepMainnet;2b0913983b2283d92f0265a4f135b8a8eeae6708d04d9499b403faa8d9d905b4;2b0913983b2283d92f0265a4f135b8a8eeae6708d04d9499b403faa8d9d905b4;200;YES;YES;YES;no authors in the authors-array
